code_blocks_index,kernel_id,code_block_id,predicted_smell,additional_smells
0,28356656,0,1,"['Long Method', 'Complex Conditions']"
1,28356656,1,0,[]
2,28356656,2,1,[]
3,28356656,3,0,[]
4,28356656,4,0,[]
5,28356656,5,1,[]
6,28356656,6,0,[]
7,28356656,7,0,['Complex Conditions']
8,28356656,8,0,"['Long Method', 'Complex Conditions']"
9,28356656,9,0,[]
10,28356656,10,0,['Magic Numbers']
11,28356656,11,0,[]
12,28356656,12,0,['Long Method']
13,28356656,13,0,"['Long Method', 'Dead Code']"
14,28356656,14,0,"['Magic Numbers', 'Complex Conditions']"
15,28356656,15,0,"['Long Method', 'Complex Conditions']"
16,28356656,16,0,[]
17,28356656,17,0,['Complex Conditions']
18,28356656,18,0,['Long Method']
19,28356656,19,0,[]
20,28356656,20,0,['Magic Numbers']
21,28356656,21,0,[]
22,29140873,0,1,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
23,28710497,0,1,[]
24,28710497,1,1,[]
25,28710497,2,0,[]
26,28710497,3,0,[]
27,28710497,4,0,[]
28,28710497,5,0,[]
29,28710497,6,0,[]
30,28710497,7,0,['Magic Numbers']
31,28710497,8,0,['Magic Numbers']
32,28710497,9,0,['Magic Numbers']
33,28710497,10,0,['Magic Numbers']
34,28710497,11,0,[]
35,28710497,12,0,['Complex Conditions']
36,28710497,13,0,['Magic Numbers']
37,28710497,14,0,['Long Method']
38,28710497,15,0,['Magic Numbers']
39,28710497,16,0,['Long Method']
40,28710497,17,0,[]
41,28710497,18,0,[]
42,28710497,19,0,[]
43,28710497,20,0,[]
44,28710497,21,0,['Magic Numbers']
45,28710497,22,0,[]
46,28710497,23,0,[]
47,28710497,24,0,[]
48,28710497,25,0,['Long Method']
49,28710497,26,0,['Magic Numbers']
50,28710497,27,0,[]
51,28710497,28,1,['Magic Numbers']
52,28710497,29,0,['Complex Conditions']
53,28710497,30,0,['Magic Numbers']
54,28710497,31,0,[]
55,28710497,32,0,['Magic Numbers']
56,28710497,33,0,[]
57,28710497,34,0,['Magic Numbers']
58,28710497,35,0,"['Long Method', 'Complex Conditions']"
59,28710497,36,0,[]
60,28985739,0,0,"['Long Method', 'Magic Numbers']"
61,28985739,1,1,"['Long Method', 'Complex Conditions']"
62,28985739,2,1,[]
63,28985739,3,1,"['Long Method', 'Magic Numbers']"
64,28985739,4,0,['Magic Numbers']
65,28985739,5,0,[]
66,28985739,6,0,['Long Method']
67,28985739,7,0,['Long Method']
68,28985739,8,0,[]
69,28985739,9,0,[]
70,28985739,10,0,[]
71,28985739,11,0,['Long Method']
72,28985739,12,0,[]
73,28985739,13,0,[]
74,28985739,14,0,['Long Method']
75,28985739,15,0,[]
76,28985739,16,0,['Magic Numbers']
77,28985739,17,0,['Magic Numbers']
78,28985739,18,0,['Magic Numbers']
79,28985739,19,0,"['Long Method', 'Magic Numbers']"
80,28985739,20,0,[]
81,28985739,21,0,['Long Method']
82,28985739,22,0,[]
83,28985739,23,0,['Magic Numbers']
84,34088724,0,1,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
85,34088724,1,0,['Long Method']
86,34088724,2,0,[]
87,34088724,3,0,"['Long Method', 'Complex Conditions']"
88,34088724,4,0,['Long Method']
89,34088724,5,0,['Long Method']
90,34088724,6,0,"['Long Method', 'Complex Conditions']"
91,34088724,7,0,[]
92,34088724,8,0,[]
93,34088724,9,0,['Magic Numbers']
94,34088724,10,0,['Magic Numbers']
95,34088724,11,0,['Magic Numbers']
96,34088724,12,0,[]
97,34088724,13,0,['Long Method']
98,34088724,14,0,['Long Method']
99,34088724,15,0,[]
100,34088724,16,0,"['Long Method', 'Complex Conditions']"
101,34088724,17,1,[]
102,34088724,18,0,[]
103,34088724,19,0,"['Long Method', 'Magic Numbers', 'Too Many Arguments']"
104,34088724,20,0,[]
105,29070286,0,0,"['Long Method', 'Complex Conditions']"
106,29070286,1,1,"['Long Method', 'Magic Numbers']"
107,29070286,2,0,"['Long Method', 'Magic Numbers']"
108,29070286,3,0,['Magic Numbers']
109,29070286,4,0,[]
110,29070286,5,0,"['Long Method', 'Too Many Arguments']"
111,29070286,6,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
112,29070286,7,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
113,29070286,8,0,"['Long Method', 'Too Many Arguments']"
114,29070286,9,0,['Long Method']
115,29070286,10,0,"['Long Method', 'Complex Conditions']"
116,29070286,11,0,"['Long Method', 'Complex Conditions']"
117,29070286,12,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
118,29070286,13,0,[]
119,29070286,14,0,"['Long Method', 'Complex Conditions']"
120,29070286,15,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
121,29070286,16,0,"['Long Method', 'Complex Conditions']"
122,29070286,17,0,['Complex Conditions']
123,29070286,18,0,['Complex Conditions']
124,29070286,19,0,"['Long Method', 'Complex Conditions']"
125,29070286,20,0,"['Long Method', 'Complex Conditions']"
126,29070286,21,0,['Long Method']
127,29070286,22,0,['Complex Conditions']
128,29070286,23,0,"['Long Method', 'Complex Conditions']"
129,29070286,24,0,[]
130,29070286,25,0,[]
131,29070286,26,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
132,29070286,27,0,['Complex Conditions']
133,29070286,28,0,"['Long Method', 'Magic Numbers']"
134,29070286,29,0,"['Long Method', 'Complex Conditions']"
135,29070286,30,0,[]
136,29070286,31,0,[]
137,29070286,32,0,['Magic Numbers']
138,29070286,33,1,['Magic Numbers']
139,29070286,34,0,[]
140,27795188,0,0,"['Long Method', 'Too Many Arguments', 'Dead Code']"
141,27795188,1,1,['Magic Numbers']
142,27795188,2,1,[]
143,27795188,3,0,[]
144,27795188,4,0,[]
145,27795188,5,0,"['Magic Numbers', 'Complex Conditions']"
146,27795188,6,0,"['Magic Numbers', 'Complex Conditions']"
147,27795188,7,0,"['Magic Numbers', 'Complex Conditions']"
148,27795188,8,0,"['Long Method', 'Magic Numbers']"
149,27795188,9,0,[]
150,27795188,10,1,['Magic Numbers']
151,27795188,11,0,[]
152,28727928,0,1,"['Long Method', 'Complex Conditions']"
153,28727928,1,1,"['Long Method', 'Magic Numbers']"
154,28727928,2,0,"['Long Method', 'Magic Numbers']"
155,28727928,3,0,['Magic Numbers']
156,28727928,4,0,[]
157,28727928,5,1,[]
158,28727928,6,0,[]
159,28727928,7,0,['Magic Numbers']
160,28727928,8,0,['Magic Numbers']
161,28727928,9,0,[]
162,28727928,10,0,[]
163,28727928,11,0,[]
164,28727928,12,0,"['Long Method', 'Too Many Arguments']"
165,28727928,13,0,[]
166,28727928,14,0,['Magic Numbers']
167,28727928,15,0,[]
168,28727928,16,0,['Magic Numbers']
169,28727928,17,0,[]
170,28727928,18,0,['Magic Numbers']
171,28727928,19,0,[]
172,28727928,20,0,['Magic Numbers']
173,28727928,21,0,[]
174,28727928,22,0,['Magic Numbers']
175,28727928,23,0,[]
176,28727928,24,0,['Magic Numbers']
177,28727928,25,0,[]
178,28727928,26,0,['Magic Numbers']
179,28727928,27,0,[]
180,28727928,28,0,['Magic Numbers']
181,28727928,29,0,"['Long Method', 'Complex Conditions']"
182,28727928,30,0,['Magic Numbers']
183,28727928,31,0,"['Long Method', 'Complex Conditions']"
184,28727928,32,0,"['Long Method', 'Too Many Arguments']"
185,28727928,33,0,[]
186,28727928,34,0,['Magic Numbers']
187,27606681,0,1,[]
188,27606681,1,1,[]
189,27606681,2,0,['Complex Conditions']
190,27606681,3,0,[]
191,27606681,4,0,[]
192,27606681,5,0,[]
193,27606681,6,0,['Long Method']
194,27606681,7,0,[]
195,27606681,8,0,['Magic Numbers']
196,27606681,9,0,[]
197,27606681,10,0,['Magic Numbers']
198,27606681,11,0,['Magic Numbers']
199,27606681,12,0,[]
200,27606681,13,0,['Magic Numbers']
201,27606681,14,1,[]
202,27606681,15,0,[]
203,27606681,16,0,[]
204,27654742,0,1,"['Long Method', 'Complex Conditions']"
205,27654742,1,1,"['Long Method', 'Magic Numbers']"
206,27654742,2,0,[]
207,27654742,3,0,['Magic Numbers']
208,27654742,4,0,['Magic Numbers']
209,27654742,5,0,['Magic Numbers']
210,27654742,6,0,['Long Method']
211,27654742,7,0,['Magic Numbers']
212,27654742,8,0,['Magic Numbers']
213,27654742,9,0,['Magic Numbers']
214,27654742,10,0,['Long Method']
215,27654742,11,0,['Long Method']
216,27654742,12,0,['Long Method']
217,27654742,13,0,['Magic Numbers']
218,27654742,14,0,[]
219,27654742,15,0,['Magic Numbers']
220,27654742,16,0,[]
221,27654742,17,0,"['Long Method', 'Complex Conditions']"
222,27654742,18,0,['Magic Numbers']
223,27654742,19,0,['Long Method']
224,27654742,20,0,['Magic Numbers']
225,27654742,21,0,[]
226,27654742,22,0,['Complex Conditions']
227,27654742,23,0,['Complex Conditions']
228,27654742,24,0,['Complex Conditions']
229,27654742,25,0,[]
230,27654742,26,0,[]
231,27654742,27,0,[]
232,27654742,28,0,[]
233,27654742,29,0,[]
234,27654742,30,0,[]
235,27654742,31,0,[]
236,27654742,32,0,"['Long Method', 'Magic Numbers']"
237,27654742,33,0,"['Long Method', 'Magic Numbers']"
238,27654742,34,0,"['Long Method', 'Magic Numbers']"
239,27654742,35,0,[]
240,27654742,36,0,['Long Method']
241,27654742,37,0,['Long Method']
242,27654742,38,0,['Magic Numbers']
243,27654742,39,0,[]
244,27654742,40,0,[]
245,27654742,41,0,['Long Method']
246,27654742,42,0,[]
247,27654742,43,0,['Long Method']
248,27654742,44,0,"['Long Method', 'Magic Numbers']"
249,27654742,45,0,['Long Method']
250,27654742,46,0,['Magic Numbers']
251,27654742,47,0,[]
252,27654742,48,0,[]
253,29099590,0,1,"['Long Method', 'Complex Conditions']"
254,29099590,1,1,[]
255,29099590,2,0,['Magic Numbers']
256,29099590,3,0,['Magic Numbers']
257,29099590,4,0,[]
258,29099590,5,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
259,29099590,6,0,['Complex Conditions']
260,29099590,7,0,['Long Method']
261,29099590,8,0,"['Long Method', 'Magic Numbers']"
262,29099590,9,0,['Magic Numbers']
263,29099590,10,0,[]
264,29099590,11,0,['Magic Numbers']
265,29099590,12,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
266,29099590,13,0,"['Long Method', 'Magic Numbers']"
267,29099590,14,0,"['Long Method', 'Magic Numbers', 'Too Many Arguments']"
268,29099590,15,1,[]
269,29099590,16,0,[]
270,29099590,17,0,['Magic Numbers']
271,28312981,0,1,"['Long Method', 'Complex Conditions']"
272,28312981,1,1,"['Long Method', 'Magic Numbers']"
273,28312981,2,0,[]
274,28312981,3,0,[]
275,28312981,4,0,[]
276,28312981,5,0,[]
277,28312981,6,0,[]
278,28312981,7,0,[]
279,28312981,8,0,[]
280,28312981,9,1,[]
281,28312981,10,0,[]
282,28312981,11,0,[]
283,28312981,12,0,[]
284,28312981,13,0,[]
285,28312981,14,0,['Magic Numbers']
286,28312981,15,0,[]
287,28312981,16,0,[]
288,28312981,17,0,[]
289,82247998,0,1,"['Long Method', 'Magic Numbers']"
290,82247998,1,1,['Long Method']
291,82247998,2,1,['Long Method']
292,82247998,3,1,[]
293,82247998,4,0,[]
294,82247998,5,0,[]
295,82247998,6,0,[]
296,82247998,7,0,[]
297,82247998,8,0,['Too Many Arguments']
298,82247998,9,0,[]
299,82247998,10,0,[]
300,82247998,11,1,[]
301,82247998,12,1,[]
302,82247998,13,0,[]
303,82247998,14,0,[]
304,82247998,15,0,"['Long Method', 'Magic Numbers']"
305,82247998,16,0,['Long Method']
306,82247998,17,0,[]
307,82247998,18,0,"['Long Method', 'Complex Conditions']"
308,82247998,19,0,"['Long Method', 'Magic Numbers']"
309,82247998,20,0,[]
310,82247998,21,0,[]
311,82247998,22,0,['Long Method']
312,82247998,23,0,[]
313,82247998,24,0,['Long Method']
314,27625781,0,0,['Magic Numbers']
315,27625781,1,1,"['Long Method', 'Complex Conditions']"
316,27625781,2,1,[]
317,27625781,3,0,['Magic Numbers']
318,27625781,4,0,[]
319,27625781,5,0,[]
320,27625781,6,0,['Magic Numbers']
321,27625781,7,0,[]
322,27625781,8,0,[]
323,27625781,9,0,['Magic Numbers']
324,27625781,10,0,['Magic Numbers']
325,27625781,11,0,[]
326,27625781,12,0,[]
327,27625781,13,1,[]
328,27625781,14,0,['Magic Numbers']
329,27625781,15,0,"['Long Method', 'Magic Numbers', 'Too Many Arguments']"
330,27625781,16,0,[]
331,27625781,17,0,['Magic Numbers']
332,27625781,18,0,[]
333,27625781,19,0,['Magic Numbers']
334,27625781,20,0,[]
335,27625781,21,0,[]
336,27625781,22,0,['Magic Numbers']
337,27625781,23,1,[]
338,27625781,24,0,['Magic Numbers']
339,27625781,25,0,"['Long Method', 'Too Many Arguments', 'Complex Conditions']"
340,27625781,26,0,"['Long Method', 'Too Many Arguments']"
341,27625781,27,0,[]
342,27625781,28,0,['Magic Numbers']
343,27625781,29,0,['Long Method']
344,27625781,30,0,['Magic Numbers']
345,29148454,0,1,"['Long Method', 'Complex Conditions']"
346,29148454,1,1,[]
347,29148454,2,1,[]
348,29148454,3,0,[]
349,29148454,4,0,[]
350,29148454,5,0,['Magic Numbers']
351,29148454,6,1,[]
352,29148454,7,0,[]
353,29148454,8,0,['Magic Numbers']
354,29148454,9,0,['Magic Numbers']
355,29148454,10,0,[]
356,29148454,11,0,[]
357,29148454,12,0,"['Long Method', 'Magic Numbers']"
358,29148454,13,0,['Magic Numbers']
359,29148454,14,0,['Magic Numbers']
360,29148454,15,0,['Magic Numbers']
361,29148454,16,0,['Magic Numbers']
362,29148454,17,0,['Magic Numbers']
363,29148454,18,0,[]
364,29148454,19,0,[]
365,29148454,20,0,['Magic Numbers']
366,29148454,21,0,"['Long Method', 'Magic Numbers']"
367,29148454,22,0,"['Long Method', 'Magic Numbers']"
368,29148454,23,0,[]
369,29148454,24,0,[]
370,29148454,25,0,['Magic Numbers']
371,29148454,26,0,[]
372,29148454,27,1,['Magic Numbers']
373,29148454,28,0,[]
374,29148454,29,0,['Magic Numbers']
375,29148454,30,0,['Magic Numbers']
376,29148454,31,0,[]
377,29148454,32,0,[]
378,29148454,33,0,['Magic Numbers']
379,29148454,34,0,[]
380,29148454,35,0,['Magic Numbers']
381,29148454,36,0,[]
382,29148454,37,0,[]
383,29148454,38,0,['Magic Numbers']
384,29148454,39,1,[]
385,29148454,40,0,[]
386,29148454,41,0,[]
387,29148454,42,0,[]
388,29148454,43,0,['Magic Numbers']
389,29148454,44,0,[]
390,29148454,45,0,"['Long Method', 'Magic Numbers']"
391,29148454,46,0,[]
392,29148454,47,1,[]
393,29148454,48,1,"['Long Method', 'Complex Conditions']"
394,29148454,49,0,['Magic Numbers']
395,29148454,50,0,['Magic Numbers']
396,29148454,51,0,['Magic Numbers']
397,29148454,52,1,[]
398,29148454,53,0,['Long Method']
399,29148454,54,0,[]
400,29148454,55,0,"['Long Method', 'Magic Numbers']"
401,29148454,56,0,[]
402,29148454,57,0,"['Long Method', 'Magic Numbers', 'Complex Conditions']"
403,29148454,58,0,[]
404,29148454,59,0,"['Long Method', 'Magic Numbers', 'Too Many Arguments']"
405,29148454,60,0,[]
406,29148454,61,0,"['Magic Numbers', 'Complex Conditions']"
407,29148454,62,0,"['Long Method', 'Complex Conditions']"
408,29148454,63,0,['Magic Numbers']
409,29148454,64,0,['Magic Numbers']
410,29148454,65,0,[]
411,29148454,66,0,[]
412,29148454,67,0,"['Long Method', 'Magic Numbers', 'Complex Conditions']"
413,29148454,68,0,['Magic Numbers']
414,29148454,69,0,['Magic Numbers']
415,29148454,70,0,[]
416,29148454,71,0,[]
417,29148454,72,0,['Long Method']
418,29148454,73,0,[]
419,29148454,74,0,['Long Method']
