kernel_id,total_code_blocks,total_code_smells,percent_code_smells
27606681,17,3,17.65
27625781,31,4,12.9
27654742,49,2,4.08
27795188,12,3,25.0
28312981,18,3,16.67
28356656,22,3,13.64
28395914,8,2,25.0
28537757,9,2,22.22
28577122,49,2,4.08
28701986,121,12,9.92
28710497,37,3,8.11
28722761,22,2,9.09
28727928,35,3,8.57
28985739,24,3,12.5
29007121,28,3,10.71
29070286,35,2,5.71
29099590,18,3,16.67
29100312,67,3,4.48
29140873,1,1,100.0
29148454,81,9,11.11
29626958,20,3,15.0
30042790,16,4,25.0
30296882,15,3,20.0
30313596,27,4,14.81
30487343,15,1,6.67
30544538,27,2,7.41
30568127,13,2,15.38
30592516,8,1,12.5
30633398,12,1,8.33
30636382,2,0,0.0
30646081,11,3,27.27
30696294,20,4,20.0
30700486,17,3,17.65
30715869,24,2,8.33
30725465,17,1,5.88
30755960,27,5,18.52
30772485,9,0,0.0
30776229,33,6,18.18
30790194,16,2,12.5
30790196,1,1,100.0
30799422,1,1,100.0
30800274,59,8,13.56
30801003,20,3,15.0
30810228,23,2,8.7
30823052,16,3,18.75
30827911,25,3,12.0
30831873,10,1,10.0
30834836,12,3,25.0
30835008,28,3,10.71
30840463,17,0,0.0
30842974,17,5,29.41
30844920,3,2,66.67
30845748,12,1,8.33
30846479,18,5,27.78
30848066,33,3,9.09
30898457,1,0,0.0
30902241,188,13,6.91
30919301,15,4,26.67
31316040,54,10,18.52
31847564,34,5,14.71
32052230,48,5,10.42
32592428,16,5,31.25
32617166,30,6,20.0
32669954,20,3,15.0
32985411,10,0,0.0
33188284,13,2,15.38
33450719,28,2,7.14
34088724,21,2,9.52
34360968,24,3,12.5
34373570,69,7,10.14
34782705,5,0,0.0
35177928,70,7,10.0
35883312,17,2,11.76
36234681,16,3,18.75
38265550,33,4,12.12
39816524,23,6,26.09
39858539,42,2,4.76
39999420,16,5,31.25
40629572,11,4,36.36
40629982,11,4,36.36
40630451,11,4,36.36
41034990,13,4,30.77
41038003,46,10,21.74
41060706,1,0,0.0
41062064,53,8,15.09
41079129,41,4,9.76
41203950,16,4,25.0
41952353,2,2,100.0
41954265,43,5,11.63
42014625,15,2,13.33
43372368,8,3,37.5
43430221,9,4,44.44
43431036,9,4,44.44
43443958,19,7,36.84
43474743,8,3,37.5
43660797,8,1,12.5
43675529,7,1,14.29
43684243,4,0,0.0
43694573,12,4,33.33
43704621,11,1,9.09
43778259,3,0,0.0
43842728,15,0,0.0
43983810,3,0,0.0
44215692,3,0,0.0
44221495,8,4,50.0
44229684,8,4,50.0
44230862,7,4,57.14
44242087,7,4,57.14
44270080,9,4,44.44
44272600,7,4,57.14
44284275,34,4,11.76
44285437,37,4,10.81
44335473,3,0,0.0
44351245,8,1,12.5
44361370,4,0,0.0
44439640,23,5,21.74
44665747,23,5,21.74
44678142,9,0,0.0
44809691,6,1,16.67
44888618,13,3,23.08
44925730,20,2,10.0
45043550,16,1,6.25
45365843,30,2,6.67
45436490,3,0,0.0
45619348,16,3,18.75
45835722,3,0,0.0
45963277,4,1,25.0
46268552,2,0,0.0
46400835,17,3,17.65
46523501,4,0,0.0
46662684,23,0,0.0
46716012,4,1,25.0
46889474,13,2,15.38
46920963,6,1,16.67
47064716,11,1,9.09
47152034,7,0,0.0
47213571,13,4,30.77
47227031,7,0,0.0
47496157,28,5,17.86
47881384,4,0,0.0
47965519,22,1,4.55
48292226,20,1,5.0
48325623,3,0,0.0
48346260,12,2,16.67
48788547,5,0,0.0
52748519,12,2,16.67
82247998,25,6,24.0
